plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
952.0, 52409.0, 323.0, 1645.7, 41.9, 41.08, 74.0, 21.7, 24.6, 17.954, nan, nan, nan, nan, 7.47, 45.122, -0.45 
1607.0, 53083.0, 484.0, 1508.2, 40.8, 40.75, 27.1, 63.2, 2.3, 18.833, nan, nan, nan, nan, 7.79, 45.075, -0.81 
1980.0, 53433.0, 131.0, 1465.4, 42.0, 41.95, 58.4, 23.8, 39.2, 18.199, nan, nan, nan, nan, 7.87, 45.099, -0.87 
1984.0, 53433.0, 537.0, 1638.1, 41.5, 40.11, 62.8, 94.9, 6.5, 17.248, nan, nan, nan, nan, 7.85, 45.323, -0.63 
1684.0, 53239.0, 515.0, 1999.7, 41.2, 40.53, 97.8, 71.4, 9.1, 17.171, 12.323, 11.429, 8.791, 6.573, 7.67, 44.883, -0.89 
278.0, 51900.0, 42.0, 1771.9, 41.4, 39.87, 50.3, 31.2, 8.7, 18.646, nan, nan, nan, nan, 7.57, 45.082, -0.59 
624.0, 52377.0, 629.0, 1970.8, 42.5, nan, 90.3, 54.9, 29.9, 17.247, 12.587, 11.517, 8.851, 6.472, 7.88, 45.639, -0.34 
334.0, 51993.0, 234.0, 1978.0, 41.8, nan, 67.1, 31.6, 13.3, 17.161, nan, nan, nan, nan, 7.83, 45.344, -0.58 
2532.0, 54589.0, 622.0, 1518.1, 41.3, 40.75, 77.0, 81.1, 8.0, 18.288, 13.297, 12.279, 9.585, 7.529, 7.37, 45.076, -0.4 
557.0, 52253.0, 398.0, 1554.6, 41.6, 40.57, 64.2, 32.8, 21.0, 18.008, 13.809, 12.855, 10.401, 8.039, 7.44, 44.912, -0.63 
2234.0, 53823.0, 566.0, 2337.8, 42.5, 42.95, 39.3, 20.5, 13.7, 16.733, nan, nan, nan, nan, 8.62, 46.012, -0.71 
2113.0, 53468.0, 140.0, 1384.4, 41.8, 41.79, 45.6, 29.3, 29.6, 18.343, nan, nan, nan, nan, 7.77, 44.966, -0.91 
2481.0, 54086.0, 401.0, 2023.7, 41.4, 40.85, 47.1, 20.1, 8.2, 18.786, nan, nan, nan, nan, 7.91, 45.148, -0.86 
401.0, 51788.0, 123.0, 1413.5, 41.7, 41.81, 55.2, 28.5, 32.2, 18.285, nan, nan, nan, nan, 7.88, 44.86, -1.12 
495.0, 51988.0, 207.0, 1568.2, 42.5, 41.46, 49.8, 67.0, 17.0, 16.649, nan, nan, nan, nan, 7.71, 45.877, 0.07 
1733.0, 53047.0, 402.0, 1471.7, 41.6, 41.31, 50.2, 43.2, 11.1, 17.868, 13.273, 12.288, 9.571, 7.378, 7.45, 45.213, -0.34 
560.0, 52296.0, 624.0, 3971.2, 41.9, 40.82, 58.9, 45.3, 9.7, 17.773, nan, nan, nan, nan, 7.79, 45.556, -0.34 
