plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
846.0, 52407.0, 596.0, 3113.5, 41.8, 40.55, 77.8, 32.6, 17.4, 17.754, nan, nan, nan, nan, 8.16, 45.189, -1.07 
2433.0, 53820.0, 286.0, 2397.7, 41.6, 41.44, 73.7, 21.5, 19.8, 18.343, 14.186, 13.264, 10.288, 7.313, 7.87, 44.94, -1.03 
1931.0, 53358.0, 40.0, 6314.1, 41.3, 41.05, 12.8, 7.6, 5.1, 18.869, 14.146, 13.533, 10.123, 8.319, 9.51, 45.263, -2.34 
462.0, 51909.0, 426.0, 1605.5, 41.3, 40.81, 52.8, 99.2, 5.1, 18.028, 13.552, 12.609, 9.514, 7.391, 7.57, 45.226, -0.45 
1002.0, 52646.0, 62.0, 2082.0, 40.3, 40.72, 31.9, 81.8, 0.7, 17.948, nan, nan, nan, nan, 7.34, 45.08, -0.36 
2090.0, 53463.0, 14.0, 2895.0, 41.5, 40.14, 127.1, 48.0, 14.0, 18.682, nan, nan, nan, nan, 7.98, 45.042, -1.04 
667.0, 52163.0, 319.0, 4060.8, 41.4, 40.0, 91.4, 48.8, 15.9, 17.161, nan, nan, nan, nan, 8.27, 44.883, -1.49 
2490.0, 54179.0, 197.0, 2576.3, 41.4, 40.17, 33.2, 39.0, 7.7, 18.555, nan, nan, nan, nan, 8.21, 45.145, -1.17 
1377.0, 53050.0, 514.0, 3081.5, 41.2, 39.31, 43.5, 20.9, 3.9, 18.347, nan, nan, nan, nan, 8.49, 45.257, -1.33 
1976.0, 53401.0, 82.0, 2535.0, 41.3, 40.39, 44.8, 36.5, 6.5, 18.353, nan, nan, nan, nan, 7.88, 45.114, -0.87 
734.0, 52224.0, 495.0, 3241.0, 41.9, 41.38, 94.9, 32.6, 12.3, 17.813, nan, nan, nan, nan, 8.43, 45.495, -1.03 
403.0, 51871.0, 229.0, 3489.9, 42.1, 40.92, 31.7, 24.8, 32.7, 18.55, nan, nan, nan, nan, 8.78, 45.285, -1.6 
2575.0, 54085.0, 81.0, 3646.8, 41.8, 40.67, 97.4, 88.7, 11.6, 17.813, nan, nan, nan, nan, 8.36, 45.404, -1.05 
1776.0, 53858.0, 612.0, 1535.2, 41.8, 40.81, 19.8, 38.8, 14.1, 16.662, nan, nan, nan, nan, 7.62, 45.316, -0.4 
980.0, 52431.0, 261.0, 4144.3, 41.2, 41.09, 32.0, 7.7, 6.5, 19.063, 14.332, 13.615, 10.49, 8.841, 8.3, 45.098, -1.3 
1378.0, 53061.0, 158.0, 2570.5, 41.5, 41.4, 18.0, 31.6, 6.6, 18.184, nan, nan, nan, nan, 7.84, 45.371, -0.57 
526.0, 52312.0, 457.0, 2986.6, 42.3, 41.58, 70.2, 22.4, 31.1, 17.545, nan, nan, nan, nan, 8.39, 45.5, -0.99 
351.0, 51780.0, 609.0, 3608.8, 41.0, 40.02, 58.6, 73.6, 4.5, 18.614, 14.452, 13.68, 11.115, 8.671, 8.25, 45.014, -1.33 
1106.0, 52912.0, 419.0, 2514.7, 41.4, 39.81, 81.6, 57.1, 8.7, 18.435, nan, nan, nan, nan, 7.87, 45.109, -0.86 
1318.0, 52781.0, 42.0, 2734.4, 41.6, nan, 96.0, 111.8, 6.5, 17.847, nan, nan, nan, nan, 8.02, 45.418, -0.7 
1701.0, 53142.0, 200.0, 3906.0, 42.2, 40.97, 70.4, 6.9, 58.6, 17.034, nan, nan, nan, nan, 8.12, 45.123, -1.1 
629.0, 52051.0, 485.0, 3283.5, 41.9, 41.14, 60.8, 26.6, 12.8, 17.871, 13.088, 12.201, 9.464, 7.215, 8.27, 45.474, -0.9 
1977.0, 53475.0, 197.0, 3585.3, 41.9, 40.56, 86.8, 36.0, 50.7, 18.123, nan, nan, nan, nan, 8.13, 44.888, -1.35 
604.0, 52079.0, 494.0, 1552.6, 41.9, 41.09, 62.1, 6.9, 33.6, 17.903, nan, nan, nan, nan, 7.37, 44.998, -0.48 
1815.0, 53884.0, 156.0, 2364.4, 41.7, 40.64, 70.5, 63.5, 17.4, 18.457, 13.496, 12.54, 9.84, 7.491, 8.0, 45.179, -0.92 
2662.0, 54505.0, 172.0, 2118.1, 41.8, 40.57, 79.2, 34.3, 22.1, 18.605, nan, nan, nan, nan, 7.84, 45.089, -0.85 
1729.0, 53858.0, 473.0, 3856.9, 41.9, 41.02, 47.7, 38.1, 23.2, 17.653, 12.971, 12.15, 9.406, 6.973, 8.54, 45.164, -1.48 
2110.0, 53467.0, 14.0, 2507.5, 41.3, 39.97, 22.7, 26.4, 6.9, 18.305, nan, nan, nan, nan, 8.14, 45.116, -1.12 
494.0, 51915.0, 124.0, 3004.4, 42.7, 41.43, 118.1, 27.9, 66.1, 16.532, nan, nan, nan, nan, 8.26, 45.495, -0.87 
613.0, 52345.0, 152.0, 3042.8, 41.5, nan, 87.2, 55.2, 4.5, 17.573, nan, nan, nan, nan, 8.3, 45.472, -0.93 
1700.0, 53502.0, 546.0, 3518.4, 41.9, 40.55, 46.5, 13.1, 20.6, 18.402, nan, nan, nan, nan, 8.36, 45.301, -1.16 
2603.0, 54479.0, 200.0, 4009.0, 41.2, 40.19, 74.6, 35.3, 8.8, 17.881, nan, nan, nan, nan, 8.32, 44.962, -1.45 
2955.0, 54562.0, 38.0, 1579.2, 41.9, 41.01, 24.5, 40.8, 36.1, 18.415, 14.459, 13.689, 10.078, 7.278, 7.37, 44.965, -0.51 
958.0, 52410.0, 415.0, 4300.9, 42.2, 41.15, 60.9, 20.2, 31.1, 17.918, nan, nan, nan, nan, 8.87, 45.347, -1.62 
1450.0, 53120.0, 206.0, 2069.2, 41.0, nan, nan, nan, 2.4, 17.677, nan, nan, nan, nan, nan, 45.294, nan 
271.0, 51883.0, 478.0, 3255.6, 41.2, 38.79, 40.7, 48.6, 5.9, 18.741, nan, nan, nan, nan, 8.25, 45.139, -1.21 
2882.0, 54498.0, 437.0, 3397.1, 41.9, 40.88, 84.9, 38.2, 9.4, 16.897, 12.352, 11.278, 8.501, 6.23, 8.36, 45.554, -0.91 
837.0, 52642.0, 59.0, 3896.4, 41.7, 40.67, 76.5, 20.7, 18.6, 16.406, nan, nan, nan, nan, 8.4, 45.106, -1.4 
1061.0, 52641.0, 293.0, 2515.3, 42.0, 41.19, 69.6, 78.8, 7.7, 16.725, 11.765, 10.966, 7.808, 5.095, 8.36, 45.759, -0.7 
459.0, 51924.0, 213.0, 2657.1, 42.4, 41.06, 87.0, 29.7, 29.9, 17.328, 12.718, 11.66, 8.757, 6.157, 8.28, 45.577, -0.8 
2291.0, 53714.0, 499.0, 4248.1, 41.6, 40.57, 65.3, 23.4, 20.5, 18.73, nan, nan, nan, nan, 8.26, 44.955, -1.41 
2423.0, 54149.0, 225.0, 3683.2, 41.6, 40.63, 74.7, 50.9, 15.1, 18.736, 13.869, 12.918, 10.46, 8.756, 8.2, 45.114, -1.19 
1224.0, 52765.0, 502.0, 3881.4, 42.2, 41.07, 80.9, 13.7, 31.2, 16.766, nan, nan, nan, nan, 8.38, 45.34, -1.14 
1206.0, 52670.0, 17.0, 2236.4, 41.2, 41.07, 29.8, 31.5, 6.0, 18.931, 14.004, 13.113, 10.137, 7.962, 7.82, 45.092, -0.82 
2439.0, 53795.0, 273.0, 2922.6, 41.4, 39.69, 68.7, 77.7, 11.8, 18.362, nan, nan, nan, nan, 7.98, 45.042, -1.04 
2229.0, 53823.0, 484.0, 4427.5, 41.6, 40.92, 52.7, 16.1, 8.2, 17.165, nan, nan, nan, nan, 8.37, 45.295, -1.18 
1446.0, 53080.0, 31.0, 3608.1, 41.4, 40.35, 48.7, 43.4, 9.5, 18.606, nan, nan, nan, nan, 8.14, 45.106, -1.14 
2595.0, 54207.0, 420.0, 3544.9, 41.9, 40.93, 92.1, 8.4, 25.8, 18.044, nan, nan, nan, nan, 8.12, 45.16, -1.06 
1925.0, 53327.0, 449.0, 2431.9, 41.7, 41.64, 56.5, 51.6, 18.0, 17.814, 13.162, 12.412, 10.008, 7.739, 8.28, 45.106, -1.27 
1970.0, 53386.0, 30.0, 3495.1, 41.7, 40.34, 62.2, 18.4, 15.6, 18.58, nan, nan, nan, nan, 8.17, 45.173, -1.1 
1009.0, 52644.0, 215.0, 2919.9, 41.6, 40.51, 84.3, 40.2, 17.0, 17.888, nan, nan, nan, nan, 8.08, 45.046, -1.13 
762.0, 52232.0, 498.0, 3252.2, 43.3, 42.31, 101.5, 8.6, 48.6, 15.514, 11.965, 10.754, 7.806, 5.517, 8.73, 46.254, -0.58 
651.0, 52141.0, 535.0, 4335.6, 41.3, 40.02, 79.7, 71.2, 3.1, 17.286, nan, nan, nan, nan, 8.54, 45.428, -1.21 
2344.0, 53740.0, 436.0, 3928.4, 41.7, 40.58, 78.1, 17.1, 37.7, 18.298, nan, nan, nan, nan, 8.29, 44.787, -1.6 
1365.0, 53062.0, 532.0, 2985.7, 41.7, 39.98, 61.0, 38.7, 14.9, 18.262, nan, nan, nan, nan, 7.85, 45.168, -0.78 
961.0, 52615.0, 347.0, 2924.4, 41.7, 40.53, 47.5, 50.4, 22.1, 18.234, nan, nan, nan, nan, 8.06, 45.051, -1.11 
894.0, 52615.0, 444.0, 4151.4, 41.8, 40.8, 87.1, 42.6, 16.8, 17.592, 13.167, 12.004, 9.151, 6.814, 8.35, 45.197, -1.25 
1011.0, 52652.0, 560.0, 3393.2, 41.7, 40.39, 73.1, 32.0, 19.0, 18.008, nan, nan, nan, nan, 8.16, 45.099, -1.16 
934.0, 52672.0, 317.0, 3328.9, 41.8, 40.98, 83.2, 49.5, 17.8, 18.312, 13.712, 12.722, 10.04, 8.028, 8.53, 45.232, -1.4 
277.0, 51908.0, 277.0, 1930.1, 41.6, nan, 69.2, 72.6, 7.4, 17.787, nan, nan, nan, nan, 7.85, 45.356, -0.59 
839.0, 52373.0, 71.0, 2024.2, 41.8, 41.98, 43.6, 101.0, 7.7, 17.22, nan, nan, nan, nan, 8.11, 45.57, -0.64 
998.0, 52750.0, 63.0, 3528.3, 41.9, 40.64, 85.7, 34.9, 28.0, 18.143, nan, nan, nan, nan, 8.47, 45.113, -1.46 
1622.0, 53385.0, 255.0, 1505.0, 40.9, 40.84, 33.4, 56.0, 3.0, 18.631, nan, nan, nan, nan, 7.48, 45.051, -0.53 
311.0, 51665.0, 26.0, 2660.3, 41.2, 40.63, 54.5, 80.1, 6.9, 18.44, 13.751, 13.102, 10.511, 8.046, 8.09, 45.007, -1.19 
2971.0, 54590.0, 127.0, 3739.6, 42.3, 41.06, 82.5, 12.2, 36.4, 18.037, 13.513, 12.336, 9.566, 7.215, 8.41, 45.403, -1.11 
1375.0, 53084.0, 87.0, 1712.0, 42.0, 40.95, 103.2, 24.5, 43.8, 17.84, nan, nan, nan, nan, 7.57, 45.061, -0.61 
1010.0, 52649.0, 296.0, 3949.5, 41.4, 40.64, 32.3, 12.1, 9.1, 18.446, nan, nan, nan, nan, 8.43, 45.111, -1.42 
274.0, 51913.0, 31.0, 2076.1, 41.5, 40.39, 78.2, 14.2, 7.9, 18.704, nan, nan, nan, nan, 7.69, 45.222, -0.57 
856.0, 52339.0, 606.0, 1429.1, 41.0, 41.0, 25.2, 50.5, 4.3, 18.741, 13.599, 12.658, 9.83, 7.597, 7.57, 45.012, -0.65 
555.0, 52266.0, 33.0, 3201.7, 42.3, 41.79, 75.9, nan, 58.4, 18.306, 14.779, 13.594, 10.798, 8.255, 8.61, 45.202, -1.51 
544.0, 52201.0, 33.0, 1569.1, 42.4, 41.02, 83.7, 65.7, 42.6, 17.154, 11.769, 10.75, 8.054, 5.406, 7.58, 45.463, -0.22 
331.0, 52368.0, 611.0, 3257.3, 41.3, 40.36, 65.4, 56.8, 10.1, 18.093, nan, nan, nan, nan, 8.07, 44.976, -1.19 
1655.0, 53523.0, 515.0, 2652.0, 41.8, 40.56, 39.8, 36.3, 15.2, 17.9, 13.355, 12.461, 9.389, 6.895, 7.82, 45.284, -0.63 
913.0, 52433.0, 132.0, 1665.5, 41.1, nan, 32.7, 49.9, 4.2, 18.315, 13.69, 12.752, 10.284, 7.79, 7.4, 45.124, -0.38 
1367.0, 53083.0, 252.0, 4278.7, 42.2, 40.99, 103.3, 26.1, 37.9, 17.72, nan, nan, nan, nan, 8.51, 45.259, -1.35 
1598.0, 53033.0, 536.0, 2301.5, 41.6, 40.92, 55.1, 15.4, 15.6, 18.318, nan, nan, nan, nan, 8.27, 45.068, -1.31 
2035.0, 53436.0, 180.0, 3217.4, 41.7, 40.43, 78.0, 34.0, 16.8, 17.52, nan, nan, nan, nan, 8.01, 45.128, -0.99 
957.0, 52398.0, 520.0, 5303.1, 41.8, nan, 59.8, 44.0, 31.7, 18.587, nan, nan, nan, nan, 8.04, 45.015, -1.13 
2126.0, 53794.0, 85.0, 3613.3, 41.6, nan, 64.1, 62.7, 7.0, 17.721, nan, nan, nan, nan, 8.51, 45.383, -1.23 
1277.0, 52765.0, 332.0, 4033.7, 42.2, 41.05, 121.9, 35.5, 17.5, 16.459, nan, nan, nan, nan, 8.66, 45.654, -1.11 
2513.0, 54141.0, 470.0, 2941.6, 41.7, 40.82, 66.2, 29.8, 16.2, 17.739, nan, nan, nan, nan, 8.36, 45.16, -1.3 
2097.0, 53491.0, 603.0, 3213.2, 41.9, 41.19, 68.6, 47.1, 13.8, 17.967, nan, nan, nan, nan, 8.29, 45.381, -1.01 
2222.0, 53799.0, 122.0, 2682.2, 41.2, 40.77, 50.1, 52.6, 7.3, 18.495, nan, nan, nan, nan, 8.12, 45.044, -1.18 
2618.0, 54506.0, 416.0, 4816.5, 42.1, 41.14, 101.2, 40.2, 22.4, 17.933, nan, nan, nan, nan, 8.57, 45.362, -1.3 
1975.0, 53734.0, 53.0, 2704.7, 41.4, 40.58, 73.5, 27.3, 13.0, 18.528, nan, nan, nan, nan, 7.92, 44.994, -1.03 
2771.0, 54527.0, 71.0, 4681.3, 42.1, 41.28, 134.0, 21.4, 87.1, 18.278, nan, nan, nan, nan, 8.39, 44.873, -1.62 
978.0, 52441.0, 622.0, 1497.4, 42.0, 41.2, 55.0, 63.2, 18.1, 17.896, 12.84, 11.74, 8.92, 6.512, 7.5, 45.41, -0.19 
350.0, 51691.0, 442.0, 4332.1, 42.1, 40.98, 58.4, 82.9, 15.3, 17.34, nan, nan, nan, nan, 8.55, 45.606, -1.05 
2006.0, 53476.0, 618.0, 3244.1, 41.9, 41.13, 65.5, 10.5, 10.0, 16.675, nan, nan, nan, nan, 8.25, 45.554, -0.8 
986.0, 52443.0, 632.0, 3774.3, 41.9, 40.86, 62.2, 8.7, 21.7, 18.341, nan, nan, nan, nan, 8.46, 45.211, -1.35 
294.0, 51986.0, 528.0, 4126.7, 42.2, 41.23, 98.2, 70.4, 15.7, 17.153, nan, nan, nan, nan, 8.62, 45.672, -1.05 
1401.0, 53144.0, 625.0, 2955.6, 42.0, 40.64, 95.4, 26.4, 31.7, 18.714, 13.965, 13.005, 10.384, 8.232, 8.1, 45.136, -1.06 
1795.0, 54507.0, 457.0, 3614.1, 42.7, 41.57, 106.5, 7.7, 38.6, 15.628, nan, nan, nan, nan, 8.59, 45.762, -0.93 
565.0, 52225.0, 383.0, 2497.7, 41.9, 41.84, 70.4, 48.3, 3.2, 16.165, nan, nan, nan, nan, 8.38, 46.08, -0.4 
2010.0, 53495.0, 272.0, 2962.7, 42.3, 41.63, 38.4, nan, 84.1, 17.3, nan, nan, nan, nan, 8.54, 45.043, -1.6 
2750.0, 54242.0, 86.0, 2843.5, 42.5, 41.15, 72.7, nan, 93.6, 18.442, 14.036, 12.958, 9.852, 7.333, 7.85, 45.19, -0.76 
2524.0, 54568.0, 64.0, 3863.0, 42.2, 41.15, 113.9, 32.6, 51.7, 17.836, 12.731, 11.888, 9.341, 7.017, 8.31, 45.194, -1.22 
1003.0, 52641.0, 563.0, 3357.7, 41.8, 41.25, 51.9, 10.4, 8.7, 17.207, nan, nan, nan, nan, 8.4, 45.533, -0.96 
2202.0, 53566.0, 552.0, 3105.1, 41.7, 40.96, 37.8, 52.1, 22.1, 18.832, 14.027, 13.344, 11.171, 9.038, 8.92, 45.058, -1.96 
854.0, 52373.0, 398.0, 1657.9, 42.2, nan, 62.9, 48.3, 17.2, 17.143, nan, nan, nan, nan, 7.68, 45.605, -0.17 
346.0, 51693.0, 223.0, 3031.2, 41.9, 40.9, 64.0, 13.0, 16.6, 16.907, 11.602, 10.594, 7.769, 5.544, 8.2, 45.333, -0.97 
1040.0, 52722.0, 611.0, 4522.9, 41.9, 39.18, 114.0, 83.2, 31.7, 18.409, nan, nan, nan, nan, 8.48, 45.072, -1.51 
2005.0, 53472.0, 40.0, 4324.2, 42.1, 41.09, 80.8, 13.6, 28.7, 17.422, nan, nan, nan, nan, 8.39, 45.264, -1.23 
1683.0, 53436.0, 469.0, 3521.8, 41.8, 41.03, 47.8, 35.9, 23.1, 17.578, 12.966, 12.13, 9.55, 7.318, 8.46, 45.129, -1.43 
1585.0, 52962.0, 477.0, 2973.0, 43.2, 42.25, 101.8, nan, 112.3, 16.763, 13.555, 12.323, 9.189, 6.359, 8.66, 45.789, -0.98 
1351.0, 52790.0, 88.0, 2003.5, 42.0, 41.24, 38.8, 47.2, 10.8, 16.963, 13.133, 12.114, 8.952, 6.497, 7.97, 45.674, -0.39 
960.0, 52425.0, 321.0, 2960.6, 41.9, 40.63, 21.2, 14.9, 17.8, 17.296, nan, nan, nan, nan, 9.23, 45.28, -2.05 
726.0, 52226.0, 539.0, 3684.1, 42.3, 41.09, 79.0, 12.4, 67.5, 17.5, nan, nan, nan, nan, 8.29, 45.129, -1.26 
381.0, 51811.0, 295.0, 2755.5, 41.4, 41.15, 18.3, 12.9, 6.2, 18.671, nan, nan, nan, nan, 8.92, 45.267, -1.76 
2291.0, 53714.0, 296.0, 3115.5, 41.3, 40.51, 28.8, 30.2, 7.1, 18.594, nan, nan, nan, nan, 8.31, 45.136, -1.27 
2488.0, 54149.0, 503.0, 3604.0, 42.0, 41.09, 63.9, 18.7, 16.1, 17.083, nan, nan, nan, nan, 8.57, 45.452, -1.22 
2230.0, 53799.0, 70.0, 3681.5, 41.9, 41.05, 79.9, 9.1, 25.0, 18.305, nan, nan, nan, nan, 8.37, 45.169, -1.3 
2101.0, 53858.0, 496.0, 3874.2, 41.5, 40.6, 59.1, 45.8, 9.6, 18.174, nan, nan, nan, nan, 8.34, 45.179, -1.26 
1041.0, 52724.0, 86.0, 3009.2, 41.8, nan, 64.3, 31.3, 22.3, 18.51, nan, nan, nan, nan, 7.91, 45.119, -0.9 
1679.0, 53149.0, 532.0, 3468.9, 42.4, 41.45, 63.3, nan, 62.5, 18.222, 13.966, 13.031, 10.393, 7.805, 8.99, 45.233, -1.85 
2217.0, 53794.0, 202.0, 4656.9, 41.9, 40.39, 70.2, 22.4, 22.8, 18.679, nan, nan, nan, nan, 8.43, 45.223, -1.31 
910.0, 52377.0, 259.0, 3796.6, 41.2, 40.44, 36.9, 36.2, 7.1, 18.085, nan, nan, nan, nan, 8.51, 45.056, -1.55 
2001.0, 53493.0, 516.0, 3395.3, 42.3, 41.33, 58.7, 6.0, 46.0, 17.544, nan, nan, nan, nan, 8.43, 45.321, -1.21 
1232.0, 52731.0, 417.0, 5619.8, 42.6, 41.64, 100.7, 14.7, 40.8, 16.629, nan, nan, nan, nan, 8.6, 45.693, -1.0 
1701.0, 53142.0, 131.0, 4072.0, 41.9, 40.79, 40.7, 42.4, 12.5, 18.077, nan, nan, nan, nan, 8.63, 45.425, -1.31 
1331.0, 52766.0, 81.0, 2093.3, 41.0, 40.93, 54.3, 82.4, 3.2, 18.528, 14.307, 13.424, 10.667, 8.594, 7.96, 45.175, -0.89 
2023.0, 53851.0, 612.0, 4254.9, 42.2, 41.11, 31.6, 9.1, 21.1, 17.756, nan, nan, nan, nan, 8.71, 45.541, -1.27 
954.0, 52405.0, 126.0, 1774.4, 41.6, 40.77, 20.8, 38.4, 9.7, 18.233, nan, nan, nan, nan, 7.51, 45.292, -0.32 
1350.0, 52786.0, 193.0, 3534.1, 41.6, 40.49, 69.3, 28.1, 16.6, 17.174, nan, nan, nan, nan, 8.22, 45.083, -1.24 
1158.0, 52668.0, 359.0, 3220.1, 42.1, 40.93, 28.1, 26.6, 49.3, 17.428, nan, nan, nan, nan, 8.7, 45.116, -1.68 
1284.0, 52736.0, 287.0, 2393.0, 41.6, 39.91, 55.6, 30.0, 17.0, 18.586, nan, nan, nan, nan, 7.77, 45.013, -0.86 
2018.0, 53800.0, 534.0, 5417.7, 41.2, 39.71, 80.7, 59.2, 9.2, 18.08, nan, nan, nan, nan, 8.37, 44.854, -1.62 
468.0, 51912.0, 82.0, 4653.4, 42.1, 40.94, 57.3, 22.9, 48.6, 18.501, nan, nan, nan, nan, 8.57, 45.068, -1.6 
2026.0, 53711.0, 584.0, 4862.7, 41.7, 40.54, 89.0, 28.4, 17.8, 17.546, nan, nan, nan, nan, 8.49, 45.121, -1.47 
923.0, 52404.0, 463.0, 2547.1, 41.7, 40.69, 52.5, 17.9, 18.5, 18.667, 13.144, 12.309, 9.479, 6.914, 7.97, 45.065, -1.01 
1198.0, 52669.0, 364.0, 3141.6, 41.7, 41.13, 49.5, 25.8, 19.4, 17.484, 12.288, 11.388, 8.573, 6.285, 8.42, 45.125, -1.4 
508.0, 52366.0, 74.0, 3733.7, 41.6, 40.5, 85.9, 47.4, 18.3, 16.529, nan, nan, nan, nan, 8.27, 44.988, -1.39 
1042.0, 52725.0, 609.0, 4498.8, 42.0, 40.88, 74.2, 26.8, 23.5, 17.275, nan, nan, nan, nan, 8.58, 45.319, -1.36 
961.0, 52615.0, 611.0, 1870.6, 42.2, 41.12, 111.0, 24.0, 64.4, 18.36, nan, nan, nan, nan, 7.82, 45.07, -0.85 
1195.0, 52724.0, 410.0, 3318.9, 42.0, 41.22, 93.1, 12.8, 39.6, 18.684, nan, nan, nan, nan, 8.27, 45.053, -1.32 
1684.0, 53239.0, 571.0, 2178.9, 42.4, 41.46, 113.1, 5.9, 60.8, 17.91, 14.012, 12.918, 10.153, 7.611, 8.37, 45.271, -1.2 
2420.0, 54086.0, 470.0, 2441.8, 42.1, 40.94, 63.8, 49.7, 37.7, 18.648, 13.3, 12.327, 9.674, 7.465, 8.05, 45.156, -0.99 
605.0, 52353.0, 568.0, 5056.6, 42.1, 40.37, 95.1, 9.0, 11.9, 17.043, nan, nan, nan, nan, 8.62, 45.723, -1.0 
1362.0, 53050.0, 107.0, 5256.4, 43.2, 41.98, 92.3, 11.7, 288.9, 16.89, nan, nan, nan, nan, 7.75, 45.427, -0.42 
861.0, 52318.0, 323.0, 3357.0, 41.9, 40.81, 35.8, 4.0, 25.3, 17.582, 12.533, 11.731, 9.182, 6.678, 9.05, 45.137, -2.01 
1461.0, 53062.0, 15.0, 2802.3, 41.8, 40.69, 65.9, 36.7, 19.2, 18.735, nan, nan, nan, nan, 8.46, 45.178, -1.38 
941.0, 52709.0, 502.0, 3336.4, 42.4, 41.15, 41.4, 19.9, 23.6, 16.632, nan, nan, nan, nan, 8.43, 45.727, -0.8 
2356.0, 53786.0, 575.0, 3096.7, 42.2, 41.05, 80.4, 27.8, 16.5, 16.429, nan, nan, nan, nan, 8.27, 45.596, -0.77 
1781.0, 53297.0, 391.0, 4668.6, 41.3, 39.86, 43.6, 38.7, 4.9, 18.53, 14.369, 13.47, 10.832, 7.981, 8.5, 45.258, -1.34 
1567.0, 53172.0, 491.0, 4541.7, 42.2, 41.01, 51.1, 4.6, 32.7, 17.404, 12.944, 12.103, 8.982, 6.297, 8.59, 45.31, -1.38 
2207.0, 53558.0, 588.0, 4392.8, 42.1, 40.72, 72.1, 37.1, 24.5, 17.863, 13.275, 12.135, 9.25, 6.809, 8.45, 45.355, -1.2 
1205.0, 52670.0, 493.0, 3425.7, 41.1, 40.55, 68.6, 39.3, 3.1, 16.679, 11.862, 11.001, 8.302, 6.248, 8.21, 45.271, -1.04 
2584.0, 54153.0, 364.0, 2468.7, 41.8, 40.8, 76.2, 26.3, 20.1, 18.579, nan, nan, nan, nan, 7.89, 45.196, -0.79 
2215.0, 53793.0, 44.0, 2994.8, 41.6, 40.04, 64.3, 46.3, 10.4, 18.581, nan, nan, nan, nan, 8.07, 45.215, -0.96 
978.0, 52441.0, 428.0, 3597.7, 41.9, 40.89, 95.6, 26.2, 21.4, 18.302, 14.356, 13.373, 10.565, 8.251, 8.28, 45.202, -1.18 
1417.0, 53141.0, 565.0, 2904.1, 41.7, 40.79, 60.5, 28.0, 25.4, 18.665, 14.344, 13.458, 10.841, 8.187, 8.06, 44.975, -1.18 
2171.0, 53557.0, 164.0, 3880.0, 41.9, 40.96, 53.6, 35.7, 13.7, 18.367, 13.117, 12.19, 9.45, 6.98, 8.52, 45.437, -1.18 
1464.0, 53091.0, 415.0, 3732.8, 42.4, 41.27, 85.1, 14.2, 73.9, 17.666, nan, nan, nan, nan, 8.29, 45.152, -1.24 
1714.0, 53521.0, 408.0, 1721.3, 41.9, 41.45, 18.0, nan, 23.6, 18.429, 14.804, 13.982, 10.22, 7.697, 7.45, 45.183, -0.37 
1336.0, 52759.0, 155.0, 3783.7, 42.0, 40.79, 79.8, 26.4, 33.2, 18.125, 13.728, 12.609, 9.733, 7.449, 8.24, 45.144, -1.2 
1657.0, 53520.0, 188.0, 2505.8, 43.1, 41.82, 114.9, nan, 210.4, 17.938, 13.623, 12.241, 8.894, 6.174, 8.03, 45.459, -0.67 
1186.0, 52646.0, 363.0, 3187.3, 41.4, 40.37, 47.3, 48.1, 10.5, 18.357, 13.398, 12.543, 9.728, 7.659, 8.06, 45.086, -1.07 
2507.0, 53876.0, 85.0, 3591.5, 41.8, 40.77, 61.5, 12.1, 18.9, 17.558, nan, nan, nan, nan, 8.25, 45.136, -1.22 
1751.0, 53377.0, 208.0, 5046.5, 41.3, 40.68, 36.0, 5.9, 7.4, 18.949, nan, nan, nan, nan, 8.96, 45.146, -1.92 
1044.0, 52468.0, 368.0, 1439.7, 42.2, 40.55, 74.1, 17.2, 51.7, 17.426, nan, nan, nan, nan, 7.48, 45.15, -0.43 
965.0, 52438.0, 203.0, 3879.2, 41.6, 40.56, 68.4, 46.4, 14.4, 17.372, nan, nan, nan, nan, 8.45, 45.105, -1.44 
2643.0, 54208.0, 579.0, 4355.8, 42.0, 41.07, 68.1, 25.3, 20.2, 18.462, nan, nan, nan, nan, 8.47, 45.341, -1.22 
1426.0, 52993.0, 110.0, 2647.3, 42.5, 41.49, 182.7, 81.2, 125.9, 18.395, nan, nan, nan, nan, 8.9, 45.116, -1.88 
719.0, 52203.0, 618.0, 3545.0, 41.3, 40.64, 60.9, 36.1, 7.3, 17.156, nan, nan, nan, nan, 8.24, 45.131, -1.2 
765.0, 52254.0, 58.0, 3856.3, 41.9, 40.45, 71.1, 28.7, 27.3, 16.851, 11.645, 10.571, 7.521, 5.157, 8.43, 45.079, -1.45 
1768.0, 53442.0, 592.0, 3463.6, 41.6, 40.59, 32.4, 6.6, 13.2, 18.178, nan, nan, nan, nan, 8.38, 45.135, -1.34 
1217.0, 52672.0, 28.0, 3795.2, 42.3, 41.37, 38.7, 9.5, 55.3, 17.014, nan, nan, nan, nan, 8.28, 45.205, -1.17 
409.0, 51871.0, 201.0, 2895.2, 41.7, 40.53, 65.0, 32.8, 19.8, 18.132, 13.481, 12.442, 9.309, 6.839, 8.1, 45.03, -1.17 
608.0, 52081.0, 632.0, 4751.1, 41.9, 40.43, 99.2, 10.2, 33.1, 18.619, nan, nan, nan, nan, 8.46, 44.997, -1.56 
